Id,Original_Value,Predicted_value
0.0,5.0,5.0
1.0,5.0,5.0
2.0,5.0,5.0
3.0,4.0,5.0
4.0,5.0,3.0
5.0,3.0,4.0
6.0,4.0,4.0
7.0,1.0,1.0
8.0,2.0,3.0
9.0,1.0,3.0
10.0,5.0,3.0
11.0,4.0,3.0
12.0,5.0,5.0
13.0,1.0,3.0
14.0,5.0,5.0
15.0,3.0,5.0
16.0,4.0,5.0
17.0,3.0,5.0
18.0,4.0,5.0
19.0,4.0,5.0
20.0,2.0,3.0
21.0,5.0,5.0
22.0,4.0,5.0
23.0,5.0,5.0
24.0,2.0,3.0
25.0,4.0,5.0
26.0,4.0,5.0
27.0,5.0,5.0
28.0,4.0,5.0
29.0,1.0,3.0
30.0,5.0,5.0
31.0,4.0,5.0
32.0,4.0,1.0
33.0,4.0,4.0
34.0,4.0,5.0
35.0,5.0,5.0
36.0,4.0,5.0
37.0,4.0,4.0
38.0,4.0,5.0
39.0,5.0,5.0
40.0,4.0,4.0
41.0,5.0,5.0
42.0,4.0,5.0
43.0,4.0,4.0
44.0,4.0,5.0
45.0,5.0,5.0
46.0,4.0,5.0
47.0,1.0,1.0
48.0,1.0,3.0
49.0,5.0,5.0
50.0,5.0,5.0
51.0,3.0,3.0
52.0,2.0,3.0
53.0,4.0,4.0
54.0,3.0,3.0
55.0,5.0,5.0
56.0,4.0,5.0
57.0,5.0,3.0
58.0,4.0,4.0
59.0,4.0,5.0
60.0,4.0,4.0
61.0,4.0,3.0
62.0,5.0,5.0
63.0,5.0,5.0
64.0,5.0,5.0
65.0,5.0,5.0
66.0,2.0,3.0
67.0,4.0,3.0
68.0,3.0,3.0
69.0,4.0,5.0
70.0,5.0,5.0
71.0,4.0,4.0
72.0,5.0,5.0
73.0,2.0,3.0
74.0,5.0,5.0
75.0,4.0,4.0
76.0,4.0,3.0
77.0,3.0,3.0
78.0,4.0,5.0
79.0,3.0,3.0
80.0,4.0,4.0
81.0,2.0,3.0
82.0,3.0,3.0
83.0,4.0,4.0
84.0,3.0,3.0
85.0,4.0,4.0
86.0,2.0,3.0
87.0,2.0,1.0
88.0,5.0,5.0
89.0,2.0,1.0
90.0,5.0,5.0
91.0,2.0,3.0
92.0,4.0,3.0
93.0,4.0,3.0
94.0,3.0,3.0
95.0,4.0,3.0
96.0,1.0,3.0
97.0,3.0,1.0
98.0,4.0,3.0
99.0,2.0,3.0
100.0,4.0,4.0
101.0,2.0,3.0
102.0,4.0,5.0
103.0,4.0,5.0
104.0,5.0,3.0
105.0,4.0,3.0
106.0,5.0,5.0
107.0,4.0,3.0
108.0,1.0,3.0
109.0,5.0,5.0
110.0,5.0,5.0
111.0,5.0,4.0
112.0,2.0,3.0
113.0,3.0,3.0
114.0,3.0,3.0
115.0,4.0,3.0
116.0,4.0,3.0
117.0,3.0,3.0
118.0,4.0,4.0
119.0,1.0,3.0
120.0,1.0,1.0
121.0,3.0,3.0
122.0,4.0,4.0
123.0,3.0,3.0
124.0,5.0,5.0
125.0,5.0,5.0
126.0,5.0,5.0
127.0,5.0,5.0
128.0,4.0,4.0
129.0,4.0,4.0
130.0,4.0,3.0
131.0,4.0,3.0
132.0,3.0,3.0
133.0,5.0,5.0
134.0,4.0,1.0
135.0,2.0,1.0
136.0,3.0,3.0
137.0,4.0,5.0
138.0,4.0,5.0
139.0,4.0,3.0
140.0,4.0,5.0
141.0,5.0,4.0
142.0,1.0,3.0
143.0,5.0,5.0
144.0,5.0,5.0
145.0,4.0,4.0
146.0,5.0,5.0
